index,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
31,0.52830535,0.39035475,0.52398527,0.37200433,0.5608055,0.41861966,0.5911656,0.36021617,0.5805402,0.44940418,0.61287016,0.39039865,0.63274634,0.32313725,0.63081014,0.3219579,0.73195827,0.3504562,0.7625676,0.36038673,0.8132881,0.3122497,0.86068356,0.31394425
32,0.5355135,0.37519562,0.53312427,0.3620036,0.57757396,0.41828668,0.5758192,0.32753107,0.61599714,0.45634773,0.6274883,0.34560373,0.6323677,0.31023195,0.63449895,0.30930382,0.72753114,0.3446457,0.7556152,0.35721985,0.8093356,0.30477688,0.8643823,0.3119756
33,0.52624375,0.3654151,0.5323369,0.34144264,0.5517092,0.37488022,0.5943369,0.31668654,0.59538203,0.39883476,0.66984516,0.3288993,0.6345104,0.31565377,0.63667613,0.30699387,0.7282168,0.33740395,0.7496683,0.34861478,0.80517083,0.3043931,0.86618674,0.3111643
34,0.4750799,0.32773706,0.50944656,0.35298797,0.49978867,0.29805425,0.6108884,0.35319427,0.53847057,0.31626412,0.6606706,0.37850848,0.61694956,0.30135295,0.6268208,0.317659,0.7128749,0.32896417,0.7439773,0.3482542,0.8029218,0.29850918,0.8510201,0.3172236
35,0.45545906,0.3154874,0.49196967,0.36300424,0.51650906,0.28678313,0.5415421,0.38563094,0.49546048,0.29447615,0.52270764,0.42235723,0.6042269,0.30356726,0.611837,0.33137494,0.69206303,0.32058886,0.72193444,0.34182212,0.79771686,0.29913712,0.8295702,0.3214133
36,0.44317046,0.31157926,0.43833932,0.3619031,0.5172576,0.29459548,0.48539135,0.34976622,0.5072349,0.30260292,0.46803916,0.33321324,0.5950516,0.31627807,0.59547657,0.3478098,0.6970976,0.3089924,0.7110311,0.34666866,0.79485846,0.3063279,0.8111408,0.33994672
37,0.43654513,0.31931806,0.4338803,0.3627355,0.42329022,0.2968208,0.45195124,0.351446,0.401679,0.31295115,0.43842784,0.32245135,0.5845845,0.32430235,0.58704996,0.35660502,0.6932755,0.31137192,0.7020363,0.3643337,0.80360466,0.3070568,0.80756414,0.3667326
38,0.4563977,0.3197038,0.4409998,0.36170998,0.54911697,0.31351364,0.50404614,0.34439248,0.4854447,0.29786456,0.45506418,0.31223685,0.59501535,0.3343801,0.595529,0.36200655,0.6893354,0.3149279,0.70594954,0.3776938,0.80338484,0.393966,0.8033675,0.3937393
39,0.46463987,0.33166188,0.45250216,0.37160847,0.54626334,0.33093938,0.5294053,0.3512959,0.5347315,0.30479833,0.5371665,0.3119514,0.60450286,0.34369704,0.60489875,0.37589678,0.69884825,0.31972995,0.714472,0.3912116,0.8038493,0.30997553,0.80527323,0.42021963
40,0.4698425,0.34156752,0.46193343,0.38836315,0.54725665,0.34248924,0.53488207,0.38668966,0.54509735,0.33758688,0.55212516,0.36600843,0.6100871,0.35673082,0.60902387,0.38989434,0.7044316,0.3248023,0.7144937,0.40459916,0.804222,0.30914056,0.80675036,0.4341407
41,0.4748836,0.3495396,0.4703572,0.40297526,0.56343204,0.33976522,0.54046667,0.42251775,0.5353776,0.34357858,0.5436235,0.39368623,0.6146647,0.37045315,0.6129564,0.3972279,0.70104223,0.3305061,0.7141944,0.41030803,0.8076801,0.43591142,0.8061647,0.30562168
42,0.45782766,0.34873834,0.45989105,0.40502048,0.5377804,0.33735046,0.535124,0.4269739,0.5267245,0.3427718,0.55099124,0.40120888,0.60232174,0.36090803,0.5999201,0.39868,0.7067626,0.33495295,0.7117388,0.42121905,0.8257303,0.31930968,0.8198631,0.44048107
43,0.466997,0.34412277,0.46682733,0.4016428,0.5443637,0.3315528,0.54585713,0.41927618,0.55297494,0.34679258,0.5619229,0.40231797,0.6036217,0.3610329,0.6031386,0.3854841,0.7201401,0.41835964,0.72637355,0.3412256,0.8351797,0.4439213,0.8461024,0.32814005
44,0.48404667,0.3446055,0.4851834,0.40509728,0.56569314,0.33212307,0.56513315,0.4168982,0.57230085,0.34337324,0.5805018,0.40251902,0.6183444,0.35429046,0.61965805,0.39039293,0.73890275,0.3390664,0.73636824,0.41427946,0.84968084,0.3303711,0.8496434,0.43579018
45,0.46241736,0.35152206,0.46476507,0.41157228,0.54325205,0.34307757,0.54962975,0.42317054,0.5543755,0.35638422,0.5671541,0.40905645,0.606,0.3611042,0.6033762,0.39765406,0.72445023,0.34763756,0.7166579,0.42586374,0.8452879,0.3313086,0.84227103,0.4409159
46,0.45070085,0.35988525,0.45835656,0.41965243,0.5337549,0.34914547,0.5449803,0.42790872,0.543185,0.36785188,0.55959237,0.418712,0.5940281,0.36929682,0.5946294,0.4058672,0.7097697,0.3518436,0.70914024,0.4338392,0.83229375,0.3343569,0.832118,0.45316634
47,0.4707297,0.3686966,0.47491023,0.42814252,0.54743814,0.35456422,0.5590407,0.4369717,0.5627264,0.3684004,0.5792817,0.42672765,0.60452414,0.37507486,0.60618633,0.41139343,0.722861,0.35751662,0.72305524,0.4428745,0.8315551,0.33341452,0.842972,0.46339482
